gene_id	gene_name	number_of_cells_expressed
ENSG00000239900	ADSL	1742452
ENSG00000115425	PECR	1741897
ENSG00000150977	RILPL2	1741388
ENSG00000204131	NHSL2	1741326
ENSG00000144771	LRTM1	1740952
ENSG00000197748	CFAP43	1740878
ENSG00000127463	EMC1	1740678
ENSG00000164081	TEX264	1740654
ENSG00000229618	ENSG00000229618.3	1740428
ENSG00000197808	ZNF461	1740272
ENSG00000185262	UBALD2	1739390
ENSG00000101365	IDH3B	1739354
ENSG00000131165	CHMP1A	1739217
ENSG00000182541	LIMK2	1738807
ENSG00000183317	EPHA10	1738704
ENSG00000196998	WDR45	1738431
ENSG00000152193	OBI1	1738220
ENSG00000136908	DPM2	1738202
ENSG00000166105	GLB1L3	1737873
ENSG00000225264	ZNRF2P2	1737801
ENSG00000203791	EEF1AKMT2	1737608
ENSG00000236548	RNF217-AS1	1737344
ENSG00000148175	STOM	1737083
ENSG00000117480	FAAH	1737049
ENSG00000203778	FAM229B	1736983
ENSG00000187531	SIRT7	1736975
ENSG00000148459	PDSS1	1736955
ENSG00000176715	ACSF3	1736808
ENSG00000196263	ZNF471	1736769
ENSG00000082213	C5orf22	1736692
ENSG00000286125	ENSG00000286125.3	1735944
ENSG00000196418	ZNF124	1735896
ENSG00000215374	FAM66B	1734708
ENSG00000106009	BRAT1	1734392
ENSG00000169740	ZNF32	1733248
ENSG00000121058	COIL	1733078
ENSG00000186417	GLDN	1732691
ENSG00000072849	DERL2	1732401
ENSG00000155755	TMEM237	1732393
ENSG00000248333	CDK11B	1732296
ENSG00000197345	MRPL21	1732039
ENSG00000204387	SNHG32	1731651
ENSG00000104936	DMPK	1731526
ENSG00000237505	PKN2-AS1	1731384
ENSG00000287720	ENSG00000287720.1	1730815
ENSG00000143319	ISG20L2	1730169
ENSG00000132406	TMEM128	1729844
ENSG00000254685	FPGT	1729790
ENSG00000139180	NDUFA9	1729363
ENSG00000179335	CLK3	1729272
ENSG00000187730	GABRD	1729090
ENSG00000046647	GEMIN8	1729059
ENSG00000226803	ZNF451-AS1	1729048
ENSG00000163053	SLC16A14	1728330
ENSG00000101457	DNTTIP1	1728309
ENSG00000042088	TDP1	1728078
ENSG00000135966	TGFBRAP1	1728067
ENSG00000230606	APPAT	1727531
ENSG00000150456	EEF1AKMT1	1727279
ENSG00000140259	MFAP1	1727183
ENSG00000171960	PPIH	1727040
ENSG00000136699	SMPD4	1726972
ENSG00000130935	NOL11	1726384
ENSG00000102468	HTR2A	1725880
ENSG00000187210	GCNT1	1725530
ENSG00000136158	SPRY2	1725233
ENSG00000127528	KLF2	1724199
ENSG00000090674	MCOLN1	1724086
ENSG00000125744	RTN2	1723848
ENSG00000106785	TRIM14	1723672
ENSG00000104907	TRMT1	1723564
ENSG00000137161	CNPY3	1723506
ENSG00000135974	C2orf49	1722920
ENSG00000182326	C1S	1721562
ENSG00000197162	ZNF785	1721097
ENSG00000114450	GNB4	1720622
ENSG00000184465	WDR27	1720581
ENSG00000283415	ENSG00000283415.2	1720503
ENSG00000145050	MANF	1720167
ENSG00000182307	C8orf33	1719845
ENSG00000136010	ALDH1L2	1719764
ENSG00000270069	MIR222HG	1719699
ENSG00000165997	ARL5B	1719443
ENSG00000095713	CRTAC1	1719400
ENSG00000139289	PHLDA1	1719188
ENSG00000126790	L3HYPDH	1719165
ENSG00000070540	WIPI1	1719096
ENSG00000185222	TCEAL9	1718291
ENSG00000232928	DDX3P1	1718238
ENSG00000198910	L1CAM	1718046
ENSG00000100532	CGRRF1	1718027
ENSG00000145780	FEM1C	1717358
ENSG00000213930	GALT	1717327
ENSG00000180902	D2HGDH	1716978
ENSG00000153930	ANKFN1	1716688
ENSG00000181404	WASHC1	1716009
ENSG00000258561	ENSG00000258561.2	1715947
ENSG00000106635	BCL7B	1715870
ENSG00000091436	MAP3K20	1715658
ENSG00000014164	ZC3H3	1715537
ENSG00000258986	TMEM179	1715101
ENSG00000065427	KARS1	1714606
ENSG00000221926	TRIM16	1714525
ENSG00000114473	IQCG	1714466
ENSG00000177731	FLII	1714392
ENSG00000166197	NOLC1	1714038
ENSG00000169752	NRG4	1714037
ENSG00000117153	KLHL12	1713392
ENSG00000090372	STRN4	1713102
ENSG00000184164	CRELD2	1712883
ENSG00000144597	EAF1	1712413
ENSG00000153234	NR4A2	1712274
ENSG00000082512	TRAF5	1710529
ENSG00000149927	DOC2A	1710291
ENSG00000162641	AKNAD1	1709966
ENSG00000187902	SHISA7	1709876
ENSG00000075223	SEMA3C	1709683
ENSG00000107099	DOCK8	1709637
ENSG00000136522	MRPL47	1709079
ENSG00000196562	SULF2	1708506
ENSG00000172081	MOB3A	1708458
ENSG00000275832	ARHGAP23	1708429
ENSG00000105197	TIMM50	1708078
ENSG00000177706	FAM20C	1707378
ENSG00000285219	HULC	1706083
ENSG00000173451	THAP2	1705991
ENSG00000104356	POP1	1705633
ENSG00000171421	MRPL36	1705609
ENSG00000186532	SMYD4	1705466
ENSG00000144827	ABHD10	1704852
ENSG00000165688	PMPCA	1704848
ENSG00000111907	TPD52L1	1704437
ENSG00000175768	TOMM5	1704220
ENSG00000129187	DCTD	1703909
ENSG00000165072	MAMDC2	1703848
ENSG00000166902	MRPL16	1703613
ENSG00000249209	ENSG00000249209.2	1703507
ENSG00000150540	HNMT	1703358
ENSG00000211584	SLC48A1	1703171
ENSG00000106799	TGFBR1	1703104
ENSG00000112297	CRYBG1	1703001
ENSG00000143633	C1orf131	1702967
ENSG00000063176	SPHK2	1702858
ENSG00000095574	IKZF5	1702494
ENSG00000048392	RRM2B	1702448
ENSG00000090971	NAT14	1702333
ENSG00000143486	EIF2D	1701790
ENSG00000104756	KCTD9	1701613
ENSG00000070087	PFN2	1701536
ENSG00000102225	CDK16	1701107
ENSG00000113328	CCNG1	1701101
ENSG00000100601	ALKBH1	1700869
ENSG00000162511	LAPTM5	1700478
ENSG00000234323	LINC01505	1700439
ENSG00000137547	MRPL15	1700309
ENSG00000187535	IFT140	1700108
ENSG00000249437	NAIP	1699327
ENSG00000233008	LINC01725	1698638
ENSG00000187790	FANCM	1697976
ENSG00000159479	MED8	1697882
ENSG00000081665	ZNF506	1697737
ENSG00000146006	LRRTM2	1697734
ENSG00000167566	NCKAP5L	1697616
ENSG00000178988	MRFAP1L1	1697488
ENSG00000135622	SEMA4F	1697093
ENSG00000180155	LYNX1	1696993
ENSG00000215908	CROCCP2_ENSG00000215908	1696882
ENSG00000176165	FOXG1	1696792
ENSG00000262655	SPON1	1696645
ENSG00000272602	ZNF595	1696109
ENSG00000124380	SNRNP27	1695942
ENSG00000027075	PRKCH	1695799
ENSG00000112357	PEX7	1695713
ENSG00000171451	DSEL	1695598
ENSG00000049449	RCN1	1695400
ENSG00000165233	CARD19	1695145
ENSG00000204568	MRPS18B	1694828
ENSG00000106526	ACTR3C	1694412
ENSG00000103460	TOX3	1694408
ENSG00000105397	TYK2	1694059
ENSG00000140365	COMMD4	1693205
ENSG00000152104	PTPN14	1693077
ENSG00000100744	GSKIP	1692982
ENSG00000128833	MYO5C	1692577
ENSG00000112759	SLC29A1	1692506
ENSG00000145919	BOD1	1692362
ENSG00000255557	ENSG00000255557.1	1692107
ENSG00000124596	OARD1	1692021
ENSG00000179240	GVQW3	1691991
ENSG00000125848	FLRT3	1691776
ENSG00000180008	SOCS4	1691578
ENSG00000133315	MACROD1	1691520
ENSG00000227500	SCAMP4	1691349
ENSG00000104946	TBC1D17	1691295
ENSG00000165029	ABCA1	1691135
ENSG00000167528	ZNF641	1690867
ENSG00000141026	MED9	1690710
ENSG00000152078	TLCD4	1690710
ENSG00000197020	ZNF100	1689912
ENSG00000095319	NUP188	1689895
ENSG00000075975	MKRN2	1689299
ENSG00000237356	ENSG00000237356.7	1689266
ENSG00000250608	NUDT16-DT	1688547
ENSG00000149575	SCN2B	1688464
ENSG00000221909	FAM200A	1688453
ENSG00000112659	CUL9	1688111
ENSG00000168301	KCTD6	1688104
ENSG00000142208	AKT1	1687613
ENSG00000147100	SLC16A2	1687408
ENSG00000084636	COL16A1	1687374
ENSG00000269237	ENSG00000269237.1	1687282
ENSG00000157224	CLDN12	1687039
ENSG00000100209	HSCB	1686733
ENSG00000186416	NKRF	1686589
ENSG00000163453	IGFBP7	1686476
ENSG00000112144	CILK1	1685884
ENSG00000130309	COLGALT1	1685220
ENSG00000278845	MRPL45	1685078
ENSG00000128578	STRIP2	1685026
ENSG00000164309	CMYA5	1684625
ENSG00000170959	DCDC1	1684556
ENSG00000270049	ATP6V0D1-DT	1684530
ENSG00000134202	GSTM3	1684498
ENSG00000162139	NEU3	1684403
ENSG00000038210	PI4K2B	1684093
ENSG00000215018	COL28A1	1683492
ENSG00000006468	ETV1	1683294
ENSG00000228566	ENSG00000228566.2	1683000
ENSG00000105357	MYH14	1682904
ENSG00000149600	COMMD7	1682859
ENSG00000123560	PLP1	1682776
ENSG00000204310	AGPAT1	1682642
ENSG00000154719	MRPL39	1682574
ENSG00000163818	LZTFL1	1682039
ENSG00000196387	ZNF140	1681387
ENSG00000129235	TXNDC17	1680992
ENSG00000175606	TMEM70	1680805
ENSG00000081386	ZNF510	1680774
ENSG00000117479	SLC19A2	1680709
ENSG00000198821	CD247	1680286
ENSG00000116521	SCAMP3	1679743
ENSG00000166046	TCP11L2	1679521
ENSG00000019144	PHLDB1	1679475
ENSG00000114739	ACVR2B	1679095
ENSG00000185163	DDX51	1679071
ENSG00000130749	ZC3H4	1679063
ENSG00000005059	MCUB	1678894
ENSG00000205559	CHKB-DT	1678465
ENSG00000144229	THSD7B	1678399
ENSG00000106683	LIMK1	1678084
ENSG00000108963	DPH1	1678002
ENSG00000219481	NBPF1	1677993
ENSG00000148290	SURF1	1677856
ENSG00000151773	CCDC122	1677684
ENSG00000109794	FAM149A	1677561
ENSG00000179119	SPTY2D1	1677551
ENSG00000232825	PLPPR5-AS1	1677545
ENSG00000136682	ZNG1B	1677211
ENSG00000267121	FMNL1-DT	1677086
ENSG00000162231	NXF1	1676747
ENSG00000139508	SLC46A3	1676109
ENSG00000178035	IMPDH2	1676076
ENSG00000178665	ZNF713	1676076
ENSG00000104497	SNX16	1675974
ENSG00000175170	FAM182B	1675279
ENSG00000141452	RMC1	1675150
ENSG00000147535	PLPP5	1675072
ENSG00000270170	NCBP2AS2	1675062
ENSG00000114988	LMAN2L	1675046
ENSG00000117266	CDK18	1674799
ENSG00000187778	MCRS1	1674409
ENSG00000196636	SDHAF3	1674378
ENSG00000250320	EDIL3-DT	1673768
ENSG00000109854	HTATIP2	1673729
ENSG00000117543	DPH5	1673330
ENSG00000158109	TPRG1L	1673319
ENSG00000163513	TGFBR2	1673062
ENSG00000186918	ZNF395	1672977
ENSG00000185591	SP1	1672909
ENSG00000104626	ERI1	1672653
ENSG00000135148	TRAFD1	1672475
ENSG00000170881	RNF139	1671980
ENSG00000213760	ATP6V1G2	1671571
ENSG00000181894	ZNF329	1671451
ENSG00000186577	SMIM29	1670902
ENSG00000151239	TWF1	1669863
ENSG00000047230	CTPS2	1669788
ENSG00000136167	LCP1	1669121
ENSG00000155100	OTUD6B	1668993
ENSG00000099995	SF3A1	1668880
ENSG00000006062	MAP3K14	1668798
ENSG00000176018	LYSMD3	1668495
ENSG00000182648	RNF32-DT	1668415
ENSG00000147789	ZNF7	1668300
ENSG00000153179	RASSF3	1667984
ENSG00000108176	DNAJC12	1667687
ENSG00000054277	OPN3	1667470
ENSG00000065534	MYLK	1666980
ENSG00000138381	ASNSD1	1666310
ENSG00000106605	BLVRA	1666158
ENSG00000229294	ENSG00000229294.1	1666076
ENSG00000266967	AARSD1	1665792
ENSG00000110583	NAA40	1665513
ENSG00000116874	WARS2	1665494
ENSG00000232956	SNHG15	1665149
ENSG00000237773	ENSG00000237773.8	1664806
ENSG00000176595	KBTBD11	1664768
ENSG00000099814	CEP170B	1664760
ENSG00000139719	VPS33A	1664362
ENSG00000267419	ZNF56P	1664285
ENSG00000119616	FCF1	1664136
ENSG00000166888	STAT6	1663703
ENSG00000166889	PATL1	1663491
ENSG00000204231	RXRB	1663337
ENSG00000107201	RIGI	1663174
ENSG00000176593	ENSG00000176593.8	1663072
ENSG00000274523	RCC1L	1663042
ENSG00000197852	INKA2	1663011
ENSG00000162512	SDC3	1662613
ENSG00000105245	NUMBL	1662200
ENSG00000067842	ATP2B3	1661880
ENSG00000130165	ELOF1	1660980
ENSG00000085563	ABCB1	1660862
ENSG00000149809	TM7SF2	1660525
ENSG00000137364	TPMT	1660516
ENSG00000285053	ENSG00000285053.1	1660302
ENSG00000158683	PKD1L1	1660034
ENSG00000237441	RGL2	1660028
ENSG00000135452	TSPAN31	1659997
ENSG00000163597	SNHG16	1659537
ENSG00000105058	FAM32A	1659514
ENSG00000165512	ZNF22	1658947
ENSG00000134815	DHX34	1658509
ENSG00000112218	GPR63	1658220
ENSG00000088256	GNA11	1658206
ENSG00000186951	PPARA	1657595
ENSG00000189050	RNFT1	1657279
ENSG00000136371	MTHFS	1657035
ENSG00000161243	FBXO27	1656949
ENSG00000171202	TMEM126A	1656913
ENSG00000126950	TMEM35A	1656804
ENSG00000156603	MED19	1656508
ENSG00000165548	TMEM63C	1655899
ENSG00000169598	DFFB	1655607
ENSG00000167515	TRAPPC2L	1654810
ENSG00000148343	MIGA2	1654506
ENSG00000100417	PMM1	1654134
ENSG00000162390	ACOT11	1653961
ENSG00000124171	PARD6B	1653847
ENSG00000115946	PNO1	1653590
ENSG00000147655	RSPO2	1653348
ENSG00000169131	ZNF354A	1653124
ENSG00000128335	APOL2	1652963
ENSG00000115041	KCNIP3	1652914
ENSG00000231646	FSIP2-AS1	1652389
ENSG00000197961	ZNF121	1652188
ENSG00000107819	SFXN3	1651810
ENSG00000112031	MTRF1L	1651659
ENSG00000151353	TMEM18	1651150
ENSG00000188818	ZDHHC11	1650786
ENSG00000100003	SEC14L2	1650665
ENSG00000051620	HEBP2	1650076
ENSG00000145779	TNFAIP8	1649382
ENSG00000100034	PPM1F	1649070
ENSG00000101977	MCF2	1649063
ENSG00000197124	ZNF682	1648861
ENSG00000235706	DICER1-AS1	1648803
ENSG00000140009	ESR2	1648148
ENSG00000181817	LSM10	1648009
ENSG00000147130	ZMYM3	1646688
ENSG00000181467	RAP2B	1646535
ENSG00000135596	MICAL1	1646049
ENSG00000175264	CHST1	1645850
ENSG00000154065	ANKRD29	1645538
ENSG00000141668	CBLN2	1645349
ENSG00000155324	GRAMD2B	1644792
ENSG00000168101	NUDT16L1	1644408
ENSG00000104885	DOT1L	1644260
ENSG00000185278	ZBTB37	1643907
ENSG00000167637	ZNF283	1643816
ENSG00000162783	IER5	1643712
ENSG00000151445	VIPAS39	1643547
ENSG00000240184	PCDHGC3	1642987
ENSG00000103549	RNF40	1641652
ENSG00000173457	PPP1R14B	1641584
ENSG00000163344	PMVK	1641379
ENSG00000065717	TLE2	1641077
ENSG00000107951	MTPAP	1641032
ENSG00000119328	ABITRAM	1640938
ENSG00000103274	NUBP1	1640900
ENSG00000264031	ABHD15-AS1	1640855
ENSG00000117481	NSUN4	1640716
ENSG00000140521	POLG	1640311
ENSG00000114554	PLXNA1	1640129
ENSG00000232611	ENSG00000232611.1	1639933
ENSG00000165792	METTL17	1639866
ENSG00000178852	EFCAB13	1639104
ENSG00000120333	MRPS14	1638984
ENSG00000008128	CDK11A	1638938
ENSG00000233928	ENSG00000233928.7	1638704
ENSG00000164331	ANKRA2	1638443
ENSG00000196074	SYCP2	1638430
ENSG00000167685	ZNF444	1638401
ENSG00000251680	ENSG00000251680.6	1637904
ENSG00000182013	PNMA8A	1637836
ENSG00000084652	TXLNA	1637398
ENSG00000158526	TSR2	1636350
ENSG00000140545	MFGE8	1636335
ENSG00000100483	VCPKMT	1635692
ENSG00000197753	LHFPL5	1635392
ENSG00000100865	CINP	1635118
ENSG00000130347	RTN4IP1	1635008
ENSG00000242220	TCP10L	1634999
ENSG00000109861	CTSC	1634980
ENSG00000103160	HSDL1	1634635
ENSG00000167363	FN3K	1634447
ENSG00000156860	FBRS	1634369
ENSG00000110851	PRDM4	1634099
ENSG00000257267	ZNF271P	1634069
ENSG00000155275	TRMT44	1634008
ENSG00000117133	RPF1	1633610
ENSG00000110442	COMMD9	1633139
ENSG00000156709	AIFM1	1632695
ENSG00000217930	PAM16	1632690
ENSG00000108551	RASD1	1632208
ENSG00000123411	IKZF4	1632137
ENSG00000196214	ZNF766	1631839
ENSG00000187193	MT1X	1631646
ENSG00000189042	ZNF567	1631100
ENSG00000204392	LSM2	1630734
ENSG00000097046	CDC7	1630729
ENSG00000139044	B4GALNT3	1630667
ENSG00000158793	NIT1	1630471
ENSG00000119446	RBM18	1629880
ENSG00000279668	ENSG00000279668.4	1629876
ENSG00000178075	GRAMD1C	1629768
ENSG00000049239	H6PD	1629767
ENSG00000131459	GFPT2	1629454
ENSG00000028116	VRK2	1629400
ENSG00000109099	PMP22	1629215
ENSG00000162341	TPCN2	1628240
ENSG00000134077	THUMPD3	1628081
ENSG00000106397	PLOD3	1627948
ENSG00000162384	CZIB	1627609
ENSG00000161381	PLXDC1	1627548
ENSG00000074527	NTN4	1626947
ENSG00000078967	UBE2D4	1626747
ENSG00000205090	TMEM240	1626586
ENSG00000053328	METTL24	1626266
ENSG00000101146	RAE1	1626205
ENSG00000152990	ADGRA3	1625495
ENSG00000149428	HYOU1	1625131
ENSG00000126456	IRF3	1624953
ENSG00000145451	GLRA3	1624853
ENSG00000099194	SCD	1624524
ENSG00000089101	CFAP61	1624182
ENSG00000133935	ERG28	1623968
ENSG00000169439	SDC2	1623499
ENSG00000215440	NPEPL1	1623421
ENSG00000126583	PRKCG	1622970
ENSG00000127870	RNF6	1622193
ENSG00000119431	HDHD3	1621249
ENSG00000111667	USP5	1621208
ENSG00000143149	ALDH9A1	1620930
ENSG00000125741	OPA3	1620686
ENSG00000188674	C2orf80	1620611
ENSG00000256287	LINC02398	1620535
ENSG00000105963	ADAP1	1620476
ENSG00000227681	ENSG00000227681.5	1620398
ENSG00000164934	DCAF13	1620297
ENSG00000085415	SEH1L	1620145
ENSG00000171793	CTPS1	1619779
ENSG00000177425	PAWR	1619638
ENSG00000171488	LRRC8C	1618527
ENSG00000165757	JCAD	1617950
ENSG00000145088	EAF2	1617721
ENSG00000186834	HEXIM1	1617543
ENSG00000144840	RABL3	1617538
ENSG00000163873	GRIK3	1617414
ENSG00000169189	NSMCE1	1617292
ENSG00000174652	ZNF266	1617271
ENSG00000260664	ENSG00000260664.4	1616870
ENSG00000124574	ABCC10	1616462
ENSG00000101624	CEP76	1616386
ENSG00000092871	RFFL	1616366
ENSG00000101958	GLRA2	1616251
ENSG00000118503	TNFAIP3	1616120
ENSG00000182240	BACE2	1615922
ENSG00000143514	TP53BP2	1615695
ENSG00000114923	SLC4A3	1615535
ENSG00000158158	CNNM4	1615332
ENSG00000117791	MTARC2	1614995
ENSG00000005302	MSL3	1614652
ENSG00000011083	SLC6A7	1614450
ENSG00000128159	TUBGCP6	1614043
ENSG00000105443	CYTH2	1613841
ENSG00000267322	SNHG22	1613094
ENSG00000131467	PSME3	1612756
ENSG00000109519	GRPEL1	1612428
ENSG00000173452	TMEM196	1612394
ENSG00000205035	GRM5P1_ENSG00000205035	1612056
ENSG00000203618	GP1BB	1611902
ENSG00000248441	LETR1	1611665
ENSG00000129245	FXR2	1611541
ENSG00000132330	SCLY	1611400
ENSG00000138642	HERC6	1610760
ENSG00000179051	RCC2	1610426
ENSG00000216863	LY86-AS1	1610120
ENSG00000094880	CDC23	1609688
ENSG00000231028	AHI1-DT	1609538
ENSG00000091732	ZC3HC1	1609326
ENSG00000162714	ZNF496	1609213
ENSG00000078549	ADCYAP1R1	1608999
ENSG00000137274	BPHL	1608733
ENSG00000136250	AOAH	1608628
ENSG00000136718	IMP4	1608565
ENSG00000123360	PDE1B	1608259
ENSG00000104897	SF3A2	1608250
ENSG00000124370	MCEE	1607911
ENSG00000070495	JMJD6	1607681
ENSG00000254004	ZNF260	1606931
ENSG00000236283	ENSG00000236283.5	1606825
ENSG00000069493	CLEC2D	1606511
ENSG00000107968	MAP3K8	1606089
ENSG00000204356	NELFE	1606024
ENSG00000204427	ABHD16A	1605731
ENSG00000102158	MAGT1	1605678
ENSG00000235597	LINC01102	1605394
ENSG00000187498	COL4A1	1605299
ENSG00000177105	RHOG	1605175
ENSG00000103353	UBFD1	1605157
ENSG00000007516	BAIAP3	1605050
ENSG00000139517	LNX2	1604819
ENSG00000288596	C8orf44	1604562
ENSG00000164627	KIF6	1604091
ENSG00000112679	DUSP22	1604001
ENSG00000137221	TJAP1	1603898
ENSG00000189060	H1-0	1603832
ENSG00000130755	GMFG	1602818
ENSG00000204370	SDHD	1602712
ENSG00000104043	ATP8B4	1602427
ENSG00000117395	EBNA1BP2	1601730
ENSG00000148572	NRBF2	1601670
ENSG00000198185	ZNF334	1601648
ENSG00000102302	FGD1	1601311
ENSG00000135521	LTV1	1601283
ENSG00000152782	PANK1	1601171
ENSG00000161013	MGAT4B	1600733
ENSG00000083635	NUFIP1	1600101
ENSG00000181220	ZNF746	1599878
ENSG00000230612	ENSG00000230612.3	1599654
ENSG00000130764	LRRC47	1599402
ENSG00000271717	ENSG00000271717.1	1599319
ENSG00000104154	SLC30A4	1599265
ENSG00000177663	IL17RA	1599232
ENSG00000068097	HEATR6	1599215
ENSG00000133107	TRPC4	1598807
ENSG00000285582	ENSG00000285582.1	1598717
ENSG00000214293	APTR	1598485
ENSG00000158106	RHPN1	1597913
ENSG00000108666	C17orf75	1597878
ENSG00000277215	SPANXA2-OT1	1597717
ENSG00000174928	C3orf33	1597431
ENSG00000086475	SEPHS1	1597288
ENSG00000164631	ZNF12	1597076
ENSG00000111783	RFX4	1596671
ENSG00000242428	CFAP20DC-AS1	1596483
ENSG00000174453	VWC2L	1596394
ENSG00000135324	MRAP2	1596350
ENSG00000142686	C1orf216	1596086
ENSG00000126733	DACH2	1596019
ENSG00000187105	HEATR4	1595944
ENSG00000145337	PYURF	1595773
ENSG00000155749	FLACC1	1595308
ENSG00000233930	KRTAP5-AS1	1595153
ENSG00000176386	CDC26	1594422
ENSG00000168026	TTC21A	1594362
ENSG00000177225	GATD1	1593733
ENSG00000245685	FRG1-DT	1592634
ENSG00000227082	LINC02798	1592168
ENSG00000162413	KLHL21	1592162
ENSG00000162407	PLPP3	1591370
ENSG00000162972	MAIP1	1591193
ENSG00000119203	CPSF3	1590487
ENSG00000144118	RALB	1589768
ENSG00000147174	GCNA	1589423
ENSG00000141391	PRELID3A	1589298
ENSG00000245849	RAD51-AS1	1589033
ENSG00000186141	POLR3C	1588870
ENSG00000158941	CCAR2	1588808
ENSG00000073150	PANX2	1588793
ENSG00000198131	ZNF544	1588530
ENSG00000198785	GRIN3A	1588436
ENSG00000159348	CYB5R1	1587131
ENSG00000148848	ADAM12	1586921
ENSG00000160072	ATAD3B	1586707
ENSG00000285667	ENSG00000285667.1	1586698
ENSG00000175787	ZNF169	1586095
ENSG00000287811	ENSG00000287811.3	1585894
ENSG00000147488	ST18	1585894
ENSG00000112592	TBP	1585674
ENSG00000053501	USE1	1585368
ENSG00000171502	COL24A1	1585103
ENSG00000118046	STK11	1583885
ENSG00000204316	MRPL38	1583824
ENSG00000071655	MBD3	1583760
ENSG00000077312	SNRPA	1583685
ENSG00000161642	ZNF385A	1583113
ENSG00000105755	ETHE1	1582945
ENSG00000132561	MATN2	1582207
ENSG00000137331	IER3	1582144
ENSG00000257337	TNS2-AS1	1581911
ENSG00000149527	PLCH2	1581496
ENSG00000106348	IMPDH1	1581463
ENSG00000185900	POMK	1581070
ENSG00000116717	GADD45A	1581048
ENSG00000157368	IL34	1580482
ENSG00000153157	SYCP2L	1580011
ENSG00000013364	MVP	1579427
ENSG00000104863	LIN7B	1578750
ENSG00000241288	LINC02614	1578640
ENSG00000120693	SMAD9	1578338
ENSG00000088992	TESC	1577664
ENSG00000181072	CHRM2	1577569
ENSG00000099804	CDC34	1577450
ENSG00000082074	FYB1	1577360
ENSG00000139637	MYG1	1577284
ENSG00000041802	LSG1	1577156
ENSG00000053372	MRTO4	1576621
ENSG00000130830	MPP1	1576335
ENSG00000134910	STT3A	1576028
ENSG00000117461	PIK3R3	1576011
ENSG00000255145	STX17-DT	1575984
ENSG00000062582	MRPS24	1575538
ENSG00000165186	PTCHD1	1575039
ENSG00000145555	MYO10	1574719
ENSG00000261404	PSMD7-DT	1574648
ENSG00000137040	RANBP6	1574600
ENSG00000287249	ENSG00000287249.1	1574520
ENSG00000160326	SLC2A6	1574490
ENSG00000165895	ARHGAP42	1574362
ENSG00000053371	AKR7A2	1574330
ENSG00000173145	NOC3L	1574162
ENSG00000136750	GAD2	1573825
ENSG00000161791	FMNL3	1573761
ENSG00000178149	DALRD3	1573599
ENSG00000228794	LINC01128	1573485
ENSG00000170791	CHCHD7	1573101
ENSG00000215790	SLC35E2A	1573025
ENSG00000181061	HIGD1A	1572356
ENSG00000006283	CACNA1G	1571982
ENSG00000001036	FUCA2	1571850
ENSG00000035141	FAM136A	1571744
ENSG00000135426	TESPA1	1571393
ENSG00000167969	ECI1	1571354
ENSG00000110711	AIP	1571328
ENSG00000186352	ANKRD37	1571286
ENSG00000186522	SEPTIN10	1570759
ENSG00000180116	C12orf40	1570373
ENSG00000009830	POMT2	1570137
ENSG00000143418	CERS2	1569786
ENSG00000147155	EBP	1569348
ENSG00000172728	FUT10	1568911
ENSG00000157890	MEGF11	1568862
ENSG00000173193	PARP14	1568826
ENSG00000164106	SCRG1	1568811
ENSG00000282278	ENSG00000282278.1	1568015
ENSG00000163485	ADORA1	1567560
ENSG00000156206	CFAP161	1566917
ENSG00000142396	ERVK3-1	1566658
ENSG00000188986	NELFB	1566604
ENSG00000116478	HDAC1	1566586
ENSG00000064692	SNCAIP	1566326
ENSG00000145022	TCTA	1566120
ENSG00000238198	LRIG2-DT	1566085
ENSG00000186350	RXRA	1565943
ENSG00000172732	MUS81	1565478
ENSG00000112149	CD83	1565399
ENSG00000163754	GYG1	1565286
ENSG00000258704	SRP54-AS1	1565274
ENSG00000164818	DNAAF5	1565118
ENSG00000144736	SHQ1	1564933
ENSG00000262246	CORO7	1564848
ENSG00000079215	SLC1A3	1564588
ENSG00000119632	IFI27L2	1564571
ENSG00000135838	NPL	1564531
ENSG00000163482	STK36	1564020
ENSG00000136026	CKAP4	1563956
ENSG00000151576	QTRT2	1562736
ENSG00000197444	OGDHL	1562524
ENSG00000198876	DCAF12	1562297
ENSG00000257242	LINC01619	1561680
ENSG00000254180	ENSG00000254180.2	1560707
ENSG00000232284	GNG12-AS1	1560494
ENSG00000173599	PC	1560012
ENSG00000197177	ADGRA1	1559894
ENSG00000143819	EPHX1	1559819
ENSG00000076201	PTPN23	1559346
ENSG00000133878	DUSP26	1559095
ENSG00000100296	THOC5	1557786
ENSG00000129473	BCL2L2	1557497
ENSG00000183474	GTF2H2C	1557476
ENSG00000108639	SYNGR2	1557429
ENSG00000151498	ACAD8	1557326
ENSG00000181924	COA4	1557315
ENSG00000120685	PROSER1	1556941
ENSG00000137814	HAUS2	1556593
ENSG00000198520	ARMH1	1556389
ENSG00000160191	PDE9A	1556202
ENSG00000174799	CEP135	1556084
ENSG00000261064	LINC02256_ENSG00000261064	1556016
ENSG00000256537	SMIM10L1	1555598
ENSG00000184515	BEX5	1555346
ENSG00000165929	TC2N	1555114
ENSG00000122512	PMS2	1555002
ENSG00000164252	AGGF1	1554994
ENSG00000167325	RRM1	1554703
ENSG00000163870	TPRA1	1554132
ENSG00000124191	TOX2	1553720
ENSG00000196923	PDLIM7	1553683
ENSG00000246596	ENSG00000246596.8	1553407
ENSG00000130733	YIPF2	1553399
ENSG00000156990	RPUSD3	1553311
ENSG00000136297	MMD2	1553220
